"Source:","C:\GitHubProjects\sim-racing-instrument-panel\gear-display\PCB\GDBM\GDBM.kicad_sch"
"Date:","20/02/2023 22.21.11"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Supplier","Supplier_PartNo"
"","","C1","C_1206_10u_X5R_50V_automotive","KD_Capacitor:C_1206_10u_X5R_50V_automotive","KD_Capacitor:CAPC3216X150N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT31CR61H106ME01-01.pdf","10u","F","GRT31CR61H106ME01L","Murata Electronics","0.30","Digi-Key","490-12457-1-ND"
"","","C2","C_1206_10u_X5R_50V_automotive","KD_Capacitor:C_1206_10u_X5R_50V_automotive","KD_Capacitor:CAPC3216X150N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT31CR61H106ME01-01.pdf","10u","F","GRT31CR61H106ME01L","Murata Electronics","0.30","Digi-Key","490-12457-1-ND"
"","","C3","C_1206_10u_X5R_50V_automotive","KD_Capacitor:C_1206_10u_X5R_50V_automotive","KD_Capacitor:CAPC3216X150N","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT31CR61H106ME01-01.pdf","10u","F","GRT31CR61H106ME01L","Murata Electronics","0.30","Digi-Key","490-12457-1-ND"
"","","C4","C_0603_100n_X7R_100V","KD_Capacitor:C_0603_100n_X7R_100V","KD_Capacitor:CAPC1608X90N","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B104KC8NNNC_Spec.pdf","100n","F","CL10B104KC8NNNC","Samsung Electro-Mechanics","0.03","Digi-Key","1276-6807-1-ND"
"","","C5","C_0603_100n_X7R_100V","KD_Capacitor:C_0603_100n_X7R_100V","KD_Capacitor:CAPC1608X90N","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B104KC8NNNC_Spec.pdf","100n","F","CL10B104KC8NNNC","Samsung Electro-Mechanics","0.03","Digi-Key","1276-6807-1-ND"
"","","C6","C_0603_100n_X7R_100V","KD_Capacitor:C_0603_100n_X7R_100V","KD_Capacitor:CAPC1608X90N","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B104KC8NNNC_Spec.pdf","100n","F","CL10B104KC8NNNC","Samsung Electro-Mechanics","0.03","Digi-Key","1276-6807-1-ND"
"","","C7","C_0805_1u_X7R_25V","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://api.kemet.com/component-edge/download/datasheet/CBR08C279B5GAC.pdf","1u","F","CL21B105KAFNNNE","Kemet","0.03","Digi-Key","1276-1066-1-ND"
"","","C8","C_0603_33p_NP0_5%_100V","KD_Capacitor:C_0603_33p_NP0_5%_100V","KD_Capacitor:CAPC1608X90N","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf","33p","F","C0603C330J1GAC7867","KEMET","0.05","Digi-Key","399-C0603C330J1GAC7867CT-ND"
"","","C9","C_0805_1u_X7R_25V","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://api.kemet.com/component-edge/download/datasheet/CBR08C279B5GAC.pdf","1u","F","CL21B105KAFNNNE","Kemet","0.03","Digi-Key","1276-1066-1-ND"
"","","C10","C_0603_33p_NP0_5%_100V","KD_Capacitor:C_0603_33p_NP0_5%_100V","KD_Capacitor:CAPC1608X90N","http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf","33p","F","C0603C330J1GAC7867","KEMET","0.05","Digi-Key","399-C0603C330J1GAC7867CT-ND"
"","","C11","C_0805_1u_X7R_25V","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://api.kemet.com/component-edge/download/datasheet/CBR08C279B5GAC.pdf","1u","F","CL21B105KAFNNNE","Kemet","0.03","Digi-Key","1276-1066-1-ND"
